hello;olá
That's right. They turned on him. No-one is sure about the exact events, but somehow Gubblebak fell into one of the smelting pots of liquid gold.;Isso mesmo. Eles se voltaram contra ele. Ninguém tem certeza sobre os acontecimentos exatos, mas de alguma forma Gubblebak caiu em uma das panelas de ouro líquido.
So you didn't find the entrance to Zanaris yet, huh?;Então você ainda não encontrou a entrada de Zanaris, hein?
You came to me, not the other way around. From that, I would assume that you already have some sort of motive in finding this killer. I care not what that motive is.;Você veio até mim, e não o contrário. A partir disso, presumo que você já tenha algum motivo para encontrar esse assassino. Não me importa qual seja esse motivo.
accep... ancestor build.;aceitar... construção ancestral.
Yes, that's right. The sheer number of trolls means that the best hope for the Colony is to gather our forces and wipe out all the trolls at once.;Sim, está certo. O grande número de trolls significa que a melhor esperança para a Colônia é reunir nossas forças e exterminar todos os trolls de uma vez.
2.2.3.3 Refuel Furnace;2.2.3.3 Forno de reabastecimento
Quest transcriptCold WarIncomplete without reasonIncomplete transcripts;Transcrição da missão Guerra FriaIncompleta sem motivoTranscrições incompletas
This page was last modified on 10 January 2023, at 07;Esta página foi modificada pela última vez em 10 de janeiro de 2023, às 07h00.
Many have tried to capture her attention, but you are the first to succeed.;Muitos tentaram chamar a atenção dela, mas você foi o primeiro a conseguir.
I'm working. What do you have to say that's so urgent?;Estou trabalhando. O que você tem a dizer que é tão urgente?
Yes, I will go get those for you.;Sim, irei buscá-los para você.
Quest transcriptThe Corsair CurseIncomplete transcripts;Transcrição da missãoThe Corsair CurseTranscrições incompletas
3 Meeting the Lost Tribe;3 Conhecendo a Tribo Perdida
Also, you don't need to bring his whole body back of course. That wouldn't be very subtle. We only need his brain.;Além disso, você não precisa trazer todo o corpo de volta, é claro. Isso não seria muito sutil. Só precisamos do cérebro dele.
If the player has lost the mysterious orb;Se o jogador perdeu o orbe misterioso
So how can we permanently unlock them?;Então, como podemos desbloqueá-los permanentemente?
Grubfoot teleports away.;Grubfoot se teletransporta.
The boots ;As botas
Hmm... Say the scroll had been there, what were you supposed to do with it?;Hmm... Digamos que o pergaminho estivesse lá, o que você deveria fazer com ele?
And so great was His sorrow, and so great was His life- giving power, that the rocks themselves began to weep with Him.;E tão grande foi Sua tristeza, e tão grande foi Seu poder vivificante, que as próprias rochas começaram a chorar com Ele.
No, now get lost!;Não, agora se perca!
Stowaway! Stowaway! *Squark*;clandestino! clandestino! *Squark*
Ulsquire Shauncy;Ulsquire Shauncy
Your death will be swift.;Sua morte será rápida.
The last time I did a trade in this place, I nearly lost the shirt from my back!;A última vez que fiz uma negociação neste lugar, quase perdi a camisa que estava nas costas!
Keep at it. We need to find a solution that they all agree on.;Continue assim. Precisamos encontrar uma solução com a qual todos concordem.
A cutscene starts. The player and Maisa walk towards the citizens and Menaphite Guards.;Uma cena começa. O jogador e Maisa caminham em direção aos cidadãos e aos Guardas Menaphitas.
Aquarius!;Aquário!
(Non-quest dialogue) Do you have any interesting items for sale?;(Diálogo fora da missão) Você tem algum item interessante à venda?
Can't risk you being a carrier. That protective clothing you have isn't regulation issue. It won't meet safety standards.;Não posso arriscar que você seja portador. Essa roupa de proteção que você tem não é uma questão de regulamentação. Não atenderá aos padrões de segurança.
Vinegar!;Vinagre!
The thing I need is something with the ability to regenerate. Nylocas are strong in numbers, but far too weak on their own.;O que preciso é algo com capacidade de regeneração. Nylocas são fortes em número, mas muito fracos por si só.
5.5 Talking to Safalaan after creating the Ivandis flail;5.5 Conversando com Safalaan após criar o mangual Ivandis
For da stabbie chucker, I's wanna hunt da chompy! Da chompy is der bestest yummies for Rantz, Fycie and Bugs! Creature knows what Rantz wants... flyin' to stabbie da chompy!;Para o stabbie chucker, eu quero caçar o chompy! Da chompy é o melhor gostoso para Rantz, Fycie e Bugs! A criatura sabe o que Rantz quer... voando para esfaquear o chompy!
Get over there and take out their cannon before I throw ye there me self.;Vá até lá e pegue o canhão deles antes que eu mesmo jogue você lá.
'Our tribesmen are the children of the Fremennik of Rellekka. The parting was a bitter affair and the two groups never forgave each other.';“Nossos membros da tribo são filhos dos Fremennik de Rellekka. A separação foi amarga e os dois grupos nunca se perdoaram.
You go into the peculiar looking tent.;Você entra na tenda de aparência peculiar.
GPDT employee;Funcionário do GPDT
If I consider you to have done a more than adequate job of this, then I will begin to consider possibly moving your name forwards to becoming a full-fledged member of the Order of the White Knights.;Se eu considerar que você fez um trabalho mais do que adequado, então começarei a considerar a possibilidade de mover seu nome para se tornar um membro de pleno direito da Ordem dos Cavaleiros Brancos.
I'm afraid not. It only ever comes in the night, so we haven't been able to get a proper look at it.;Receio que não. Ele só aparece à noite, então não conseguimos dar uma boa olhada nele.
) I managed to get back to Yu'biusk.;) Consegui voltar para Yu'biusk.
It should be big enough for you to squeeze through, as long as you haven't recently eaten an excess of cakes.;Deve ser grande o suficiente para você espremer, desde que você não tenha comido bolos em excesso recentemente.
With Zamorak at my side, nothing would stand between me and Camelot!;Com Zamorak ao meu lado, nada ficaria entre mim e Camelot!
Elena gives you some potions.;Elena lhe dá algumas poções.
So who did create them?;Então, quem os criou?
Rejoice with me, for your miserable lives are finally at an end!;Alegrem-se comigo, pois suas vidas miseráveis ​​finalmente chegaram ao fim!
I can almost taste the riches!;Quase posso sentir o gosto das riquezas!
3.2 Using vodka on aviary hatch;3.2 Usando vodka na escotilha do aviário
Please waitYour character is now attempting to cut down the tree. Sit back for a moment while he does all the hard work.;Por favor, espere. Seu personagem agora está tentando derrubar a árvore. Sente-se por um momento enquanto ele faz todo o trabalho duro.
Treasure scroll;Pergaminho do tesouro
The River leads the souls through unchartable realms, transcending the plane of the world as you see it, but the three-headed Guardian keeps them safe.;O Rio conduz as almas através de reinos desconhecidos, transcendendo o plano do mundo como você o vê, mas o Guardião de três cabeças os mantém seguros.
He'd achieved his goal, so he left. I never saw him again.;Ele alcançou seu objetivo, então foi embora. Nunca mais o vi.
That's right, to become a Fremennik.;Isso mesmo, tornar-se um Fremennik.
1.6 Talking to Jerico after talking to Omart;1.6 Conversando com Jerico depois de falar com Omart
I'm meant to be setting sail on a voyage of my own, but the crew won't go without some sort of 'protection'. I was hoping someone here would know of a way to avoid falling victim to the so-called curse.;Eu deveria embarcar em uma viagem própria, mas a tripulação não irá sem algum tipo de “proteção”. Eu esperava que alguém aqui soubesse uma maneira de evitar ser vítima da chamada maldição.
Yes, but I don't think you can help;Sim, mas não acho que você possa ajudar
Rantz gives you a filled comfy mattress.;Rantz oferece um colchão confortável e cheio.
Repair the grindstone?;Reparar a pedra de amolar?
Yeah, okay, let's give it a go.;Sim, ok, vamos tentar.
It's... an eye patch?;É... um tapa-olho?
If the Council are to be removed, they will also have to be replaced.;Se o Conselho for removido, eles também terão que ser substituídos.
These holes aren't that spooky.;Esses buracos não são tão assustadores.
3 Joining the Carnillean side;3 Juntando-se ao lado Carnillean
So would you if you lost everyone dear to you at the hands of such monsters.;Você também faria o mesmo se perdesse todos os seus entes queridos nas mãos de tais monstros.
Hello? Lacey? Sid?;Olá? Lacey? Sid?
You knew this day would come?;Você sabia que esse dia chegaria?
Take a look around our camp if you like!;Dê uma olhada em nosso acampamento se quiser!
2.8 Talking to Tegdak with an artefact;2.8 Conversando com Tegdak com um artefato
Toolkit;Kit de ferramentas
2.1 Talking to Luthas;2.1 Conversando com Luthas
Thank you, [Fremennik name].;Obrigado, [nome Fremennik].
You are perhaps a more interesting man than I first took you for, Sir...;Você talvez seja um homem mais interessante do que eu imaginava, senhor...
'Black-eye';'Olho roxo'
3.12.1 Talking to Garkor again;3.12.1 Conversando com Garkor novamente
Oh great! That is great news! Well done...well done... what a total success!;Ah, ótimo! Isso é uma ótima notícia! Muito bem... muito bem... que sucesso total!
Vanescula Drakan appears;Vanéscula Drakan aparece
You take an 8-gallon jug from the cupboard.;Você pega uma jarra de 8 galões do armário.
4.1 Attempting to grab the ball before defeating the experiment;4.1 Tentando agarrar a bola antes de derrotar o experimento
Sorry, that's too expensive.;Desculpe, isso é muito caro.
Well, err...who are you, and what are all these bones doing here?;Bem, err... quem é você e o que todos esses ossos estão fazendo aqui?
You... you moved her into the waterfall? That... that's the perfect place for her to be.;Você... você a levou para a cachoeira? Esse... esse é o lugar perfeito para ela estar.
Boy;Garoto
I don't understand... the touch paper hasn't changed colour at all...;Não entendo... o papel touch não mudou de cor...
You know, I'm not sure that was even a compliment.;Sabe, não tenho certeza se isso foi um elogio.
I promise, Grubfoot. I won't tell anyone where the temple is.;Eu prometo, Grubfoot. Não direi a ninguém onde fica o templo.
You did what?;Você fez o que?
1.1 Adventurer camp;1.1 Acampamento de aventureiros
Hello friend. I'm just here to rescue the Prince, if thats okay?;Olá amigo. Estou aqui apenas para resgatar o Príncipe, se estiver tudo bem?
Doll;Boneca
The Captain starts rambling on about his days as a salty sea dog. He looks quite distracted...;O capitão começa a divagar sobre seus dias como cachorro-do-mar salgado. Ele parece bastante distraído...
Glad to hear it!;Fico feliz em ouvir isso!
I think I saw some buildings on the coast east of here while we were crashing. I'd have a look there.;Acho que vi alguns edifícios na costa leste daqui enquanto estávamos caindo. Eu daria uma olhada lá.
Do you think we'll find anything to help us here?;Você acha que encontraremos algo para nos ajudar aqui?
Yes, she good cook and wash but talk too many. Arrg strong troll, Arrg mighty troll, Arrg have many girlfriends!;Sim, ela cozinha e lava bem, mas fala demais. Arrg troll forte, Arrg troll poderoso, Arrg tem muitas namoradas!
Pact?;Pacto?
There you are! I was worried you'd miss all the fun.;Aí está você! Eu estava preocupado que você perdesse toda a diversão.
I'll be back.;Eu voltarei.
Hello traveller, what brings you to my humble smithy?;Olá viajante, o que o traz à minha humilde ferraria?
2.9 Investigating the compost heap;2.9 Investigando a pilha de compostagem
Are you sure it'll work?;Tem certeza que vai funcionar?
Looks like you already have some.;Parece que você já tem alguns.
Do you even remember what it looked like?;Você ao menos se lembra de como era?
Where does it lead to?;Para onde isso leva?
4.3 Talking to King Narnode;4.3 Conversando com o Rei Narnode
1.4 Talking to Trufitus again;1.4 Conversando com Trufitus novamente
Talk to tha' hand coz thish face ain't lishtnin'!;Fale com essa mão porque essa cara não está gostando!
Then you will be equipped to ask Sandy a few questions. Oh Clarence, I will find your murderer!;Então você estará preparado para fazer algumas perguntas a Sandy. Oh Clarence, vou encontrar o seu assassino!
Yous creature dun da fing yet? Da zogries going in da dirt full home?;Você ainda não é uma criatura? Da zogries indo para a terra em casa?
Hello, Lady Servil.;Olá, Senhora Servil.
Where would I find this Al Zaba Bhasim?;Onde eu encontraria esse Al Zaba Bhasim?
Hang on, do you hear that?;Espere, você ouviu isso?
Join your crew.;Junte-se à sua tripulação.
Well don't waste time talking to me. Get on with it.;Bem, não perca tempo falando comigo. Vá em frente.
Green Gemstone Director;Diretor de Pedras Preciosas Verdes
Ok, I'll gather some wood.;Ok, vou juntar um pouco de madeira.
You try to use the tree to climb down...;Você tenta usar a árvore para descer...
Emote clues.;Emote pistas.
I'm guessing this is the bit where I retrieve some hespori bark for us.;Acho que esta é a parte em que recupero um pouco de casca de hespori para nós.
5.1 Talking to Spria;5.1 Conversando com Spria
You unlock the chest and find a scroll inside, but you don't have enough room to take it.;Você destranca o baú e encontra um pergaminho dentro, mas não tem espaço suficiente para pegá-lo.
Thank you. I will make sure she's given a proper burial now.;Obrigado. Vou garantir que ela tenha um enterro adequado agora.
11.4 Returning to Razmire before making sacred oil;11.4 Retornando a Razmire antes de fazer óleo sagrado
14.4 Returning to Razmire;14.4 Voltando para Razmire
Alright, Kovac, I'll help you out. What do we need to do first?;Tudo bem, Kovac, vou te ajudar. O que precisamos fazer primeiro?
I think this has seen better days. What was it?;Acho que isso já viu dias melhores. O que foi?
Hmm. I wonder if there's another way in.;Hum. Eu me pergunto se há outra maneira de entrar.
'I knew I had to help them, to fix my mistakes. I should have known that I'd only make it worse...';'Eu sabia que tinha que ajudá-los, para consertar meus erros. Eu deveria saber que só iria piorar as coisas...'
I think so. There's a waste outlet nearby that I believe may be coming from the city of Arposandra!;Eu penso que sim. Há um depósito de lixo próximo que acredito ser proveniente da cidade de Arposandra!
What do you do in the Guild?;O que você faz na Guilda?
Ranked or unranked? What does that mean?;Classificado ou não classificado? O que isso significa?
Yup, I'd already figured that much out.;Sim, eu já tinha descoberto isso.
Go on, deny it. Just like you always do.;Vá em frente, negue. Assim como você sempre faz.
The iron sheet is not changed in any way.;A chapa de ferro não é alterada de forma alguma.
If the player has stew in their inventory;Se o jogador tiver ensopado em seu inventário
Start again!;Comece de novo!
99000! Are you mad?;99000! Você está bravo?
1.2.6 After pouring 4 buckets of water on the mud patch without a gas mask in player inventory;1.2.6 Depois de derramar 4 baldes de água na lama sem máscara de gás no inventário do jogador
Peach? But, aren't you...male?;Pêssego? Mas você não é... homem?
Oh. So you can't help me?;Oh. Então você não pode me ajudar?
1.5.1 Talking to the guard again;1.5.1 Falando com o guarda novamente
If the player has 20 Crafting;Se o jogador tiver 20 Crafting
No, now hang on, this seems to me like one of the strangest quests I have ever been involved with. I do not believe that a businessman like you would not know of a competitor, particularly a competitor as talented as;Não, espere aí, esta me parece uma das missões mais estranhas em que já estive envolvido. Não acredito que um empresário como você não conheça um concorrente, especialmente um concorrente tão talentoso quanto
6.3 Brundt again;6.3 Brundt novamente
Can't I do something for a strong Captain like you?;Não posso fazer algo por um capitão forte como você?
Scorpio;Escorpião
Lord Iorwerth, I have lost the message for King Lathas.;Lorde Iorwerth, perdi a mensagem para o Rei Lathas.
I've made my decision and I intend to stick by it.;Já tomei minha decisão e pretendo cumpri-la.
So I went to the Library Historical Archive. I found out that King Shayzien VII ordered the construction of a prison there around the time the expedition was taking place.;Então fui ao Arquivo Histórico da Biblioteca. Descobri que o rei Shayzien VII ordenou a construção de uma prisão ali na época em que a expedição estava acontecendo.
So you'll help?;Então você vai ajudar?
Finally! How long before we can expect his support?;Finalmente! Quanto tempo até que possamos esperar o seu apoio?
It's... a cloak?;É... uma capa?
But if it weren't for you... my whole family... we could have been...;Mas se não fosse por você... toda a minha família... poderíamos ter sido...
1 Before starting;1 Antes de começar
I tried to reason with him, but he had already decided that I was his enemy. We had the numbers and our forces were better skilled, so we tried to besiege the city.;Tentei argumentar com ele, mas ele já havia decidido que eu era seu inimigo. Tínhamos os números e as nossas forças eram mais qualificadas, por isso tentámos sitiar a cidade.
) Dialogue 82;) Diálogo 82
Please could you go see Noella, north of East Ardougne market for us? You can get another job once you have furnished her home.;Por favor, você poderia ir ver Noella, ao norte do mercado de East Ardonha, para nós? Você pode conseguir outro emprego depois de mobiliar a casa dela.
(Player receives 5 energy potions.);(O jogador recebe 5 poções de energia.)
Start the Enlightened Journey quest?;Iniciar a missão Jornada Iluminada?
Their sacrifice was not in vain though. Before they were defeated, the Seven Priestly Warriors managed to bless the Salve with the holy power of Saradomin.;Seu sacrifício não foi em vão. Antes de serem derrotados, os Sete Guerreiros Sacerdotais conseguiram abençoar a Salve com o poder sagrado de Saradomin.
One last thing. While in Morytania, stay alert for any mention of the Myreque.;Uma última coisa. Enquanto estiver em Moritânia, fique atento a qualquer menção ao Myreque.
(If Merlin's Crystal is completed;(Se o Cristal de Merlin for concluído
The guards move off leaving you stranded in the desert.;Os guardas partem deixando você preso no deserto.
Yes, he would seem a likely bet. Savant out.;Sim, ele pareceria uma aposta provável. Saiu Savant.
1.6.2 Using any item on Claus' range;1.6.2 Usando qualquer item do alcance de Claus
